ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,35102,10,49,1,28.50,28.37,28.37,CHL,28.50,28.28,28.28,OFF,28.50,28.30,28.30,CHL,28.50,28.30,28.30,OFF,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,40771,10,49,1,28.50,28.44,28.44,CHL,28.50,28.28,28.28,HTR,28.50,28.30,28.30,HTR,28.50,28.30,28.30,HTR,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,46253,10,49,1,28.50,28.37,28.37,HTR,28.50,28.22,28.22,HTR,28.50,28.30,28.30,HTR,28.50,28.30,28.30,HTR,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,51737,10,49,1,28.50,28.44,28.44,CHL,28.50,28.22,28.22,HTR,28.50,28.30,28.30,HTR,28.50,28.30,28.30,HTR,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,57221,10,49,1,28.50,28.37,28.37,HTR,28.50,28.22,28.22,HTR,28.50,28.30,28.30,HTR,28.50,28.30,28.30,HTR,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,62700,10,50,2,28.50,28.37,28.37,HTR,28.50,28.22,28.22,HTR,28.50,28.30,28.30,HTR,28.50,28.30,28.30,HTR,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,68506,10,50,2,28.50,28.37,28.37,HTR,28.50,28.28,28.28,OFF,28.50,28.30,28.30,HTR,28.50,28.30,28.30,HTR,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,73988,10,50,2,28.50,28.37,28.37,HTR,28.50,28.28,28.28,HTR,28.50,28.30,28.30,HTR,28.50,28.30,28.30,HTR,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,79468,10,50,2,28.50,28.37,28.37,HTR,28.50,28.28,28.28,HTR,28.50,28.30,28.30,HTR,28.50,28.30,28.30,HTR,
01411,20221130_TestPulchraRun_SYS2,2022_12_1,84948,10,50,2,28.50,28.37,28.37,HTR,28.50,28.28,28.28,HTR,28.50,28.30,28.30,HTR,28.50,28.30,28.30,HTR,
