"Plot Title: 20444033"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444033, SEN S/N: 20444033, LBL: C)","Coupler Detached (LGR S/N: 20444033)","Coupler Attached (LGR S/N: 20444033)","Host Connected (LGR S/N: 20444033)","Stopped (LGR S/N: 20444033)","End Of File (LGR S/N: 20444033)"
1,09/26/22 11:00:00 AM,23.112,Logged,,,,
2,09/26/22 11:10:00 AM,23.978,,,,,
3,09/26/22 11:20:00 AM,26.940,,,,,
4,09/26/22 11:30:00 AM,27.136,,,,,
5,09/26/22 11:40:00 AM,27.210,,,,,
6,09/26/22 11:50:00 AM,27.284,,,,,
7,09/26/22 12:00:00 PM,27.358,,,,,
8,09/26/22 12:10:00 PM,27.431,,,,,
9,09/26/22 12:20:00 PM,27.481,,,,,
10,09/26/22 12:30:00 PM,27.554,,,,,
11,09/26/22 12:40:00 PM,27.604,,,,,
12,09/26/22 12:50:00 PM,27.677,,,,,
13,09/26/22 01:00:00 PM,27.727,,,,,
14,09/26/22 01:10:00 PM,27.776,,,,,
15,09/26/22 01:20:00 PM,27.825,,,,,
16,09/26/22 01:30:00 PM,27.875,,,,,
17,09/26/22 01:40:00 PM,27.924,,,,,
18,09/26/22 01:50:00 PM,27.974,,,,,
19,09/26/22 02:00:00 PM,27.998,,,,,
20,09/26/22 02:10:00 PM,28.048,,,,,
21,09/26/22 02:20:00 PM,28.072,,,,,
22,09/26/22 02:30:00 PM,28.097,,,,,
23,09/26/22 02:40:00 PM,28.122,,,,,
24,09/26/22 02:50:00 PM,28.147,,,,,
25,09/26/22 03:00:00 PM,28.147,,,,,
26,09/26/22 03:10:00 PM,28.147,,,,,
27,09/26/22 03:20:00 PM,28.147,,,,,
28,09/26/22 03:30:00 PM,28.122,,,,,
29,09/26/22 03:40:00 PM,28.097,,,,,
30,09/26/22 03:50:00 PM,28.072,,,,,
31,09/26/22 04:00:00 PM,28.072,,,,,
32,09/26/22 04:10:00 PM,28.023,,,,,
33,09/26/22 04:20:00 PM,27.998,,,,,
34,09/26/22 04:30:00 PM,27.974,,,,,
35,09/26/22 04:40:00 PM,27.949,,,,,
36,09/26/22 04:50:00 PM,27.899,,,,,
37,09/26/22 05:00:00 PM,27.875,,,,,
38,09/26/22 05:10:00 PM,27.825,,,,,
39,09/26/22 05:20:00 PM,27.776,,,,,
40,09/26/22 05:30:00 PM,27.751,,,,,
41,09/26/22 05:40:00 PM,27.727,,,,,
42,09/26/22 05:50:00 PM,27.677,,,,,
43,09/26/22 06:00:00 PM,27.628,,,,,
44,09/26/22 06:10:00 PM,27.579,,,,,
45,09/26/22 06:20:00 PM,27.530,,,,,
46,09/26/22 06:30:00 PM,27.481,,,,,
47,09/26/22 06:40:00 PM,27.431,,,,,
48,09/26/22 06:50:00 PM,27.382,,,,,
49,09/26/22 07:00:00 PM,27.308,,,,,
50,09/26/22 07:10:00 PM,27.259,,,,,
51,09/26/22 07:20:00 PM,27.210,,,,,
52,09/26/22 07:30:00 PM,27.161,,,,,
53,09/26/22 07:40:00 PM,27.136,,,,,
54,09/26/22 07:50:00 PM,27.087,,,,,
55,09/26/22 08:00:00 PM,27.063,,,,,
56,09/26/22 08:10:00 PM,27.014,,,,,
57,09/26/22 08:20:00 PM,26.989,,,,,
58,09/26/22 08:30:00 PM,26.989,,,,,
59,09/26/22 08:40:00 PM,26.965,,,,,
60,09/26/22 08:50:00 PM,26.940,,,,,
61,09/26/22 09:00:00 PM,26.940,,,,,
62,09/26/22 09:10:00 PM,26.916,,,,,
63,09/26/22 09:20:00 PM,26.891,,,,,
64,09/26/22 09:30:00 PM,26.867,,,,,
65,09/26/22 09:40:00 PM,26.842,,,,,
66,09/26/22 09:50:00 PM,26.818,,,,,
67,09/26/22 10:00:00 PM,26.818,,,,,
68,09/26/22 10:10:00 PM,26.793,,,,,
69,09/26/22 10:20:00 PM,26.793,,,,,
70,09/26/22 10:30:00 PM,26.769,,,,,
71,09/26/22 10:40:00 PM,26.769,,,,,
72,09/26/22 10:50:00 PM,26.769,,,,,
73,09/26/22 11:00:00 PM,26.769,,,,,
74,09/26/22 11:10:00 PM,26.769,,,,,
75,09/26/22 11:20:00 PM,26.744,,,,,
76,09/26/22 11:30:00 PM,26.744,,,,,
77,09/26/22 11:40:00 PM,26.744,,,,,
78,09/26/22 11:50:00 PM,26.744,,,,,
79,09/27/22 12:00:00 AM,26.720,,,,,
80,09/27/22 12:10:00 AM,26.720,,,,,
81,09/27/22 12:20:00 AM,26.720,,,,,
82,09/27/22 12:30:00 AM,26.695,,,,,
83,09/27/22 12:40:00 AM,26.695,,,,,
84,09/27/22 12:50:00 AM,26.695,,,,,
85,09/27/22 01:00:00 AM,26.695,,,,,
86,09/27/22 01:10:00 AM,26.695,,,,,
87,09/27/22 01:20:00 AM,26.671,,,,,
88,09/27/22 01:30:00 AM,26.671,,,,,
89,09/27/22 01:40:00 AM,26.671,,,,,
90,09/27/22 01:50:00 AM,26.671,,,,,
91,09/27/22 02:00:00 AM,26.671,,,,,
92,09/27/22 02:10:00 AM,26.646,,,,,
93,09/27/22 02:20:00 AM,26.646,,,,,
