"Plot Title: 20719656_WTParent2"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20719656, SEN S/N: 20719656, LBL: C)","Coupler Detached (LGR S/N: 20719656)","Coupler Attached (LGR S/N: 20719656)","Host Connected (LGR S/N: 20719656)","Stopped (LGR S/N: 20719656)","End Of File (LGR S/N: 20719656)"
1,09/16/22 07:00:00 PM,26.744,Logged,,,,
2,09/16/22 07:10:00 PM,26.695,,,,,
3,09/16/22 07:20:00 PM,26.646,,,,,
4,09/16/22 07:30:00 PM,26.622,,,,,
5,09/16/22 07:40:00 PM,26.573,,,,,
6,09/16/22 07:50:00 PM,26.549,,,,,
7,09/16/22 08:00:00 PM,26.500,,,,,
8,09/16/22 08:10:00 PM,26.500,,,,,
9,09/16/22 08:20:00 PM,26.475,,,,,
10,09/16/22 08:30:00 PM,26.451,,,,,
11,09/16/22 08:40:00 PM,26.402,,,,,
12,09/16/22 08:50:00 PM,26.353,,,,,
13,09/16/22 09:00:00 PM,26.329,,,,,
14,09/16/22 09:10:00 PM,26.304,,,,,
15,09/16/22 09:20:00 PM,26.280,,,,,
16,09/16/22 09:30:00 PM,26.231,,,,,
17,09/16/22 09:40:00 PM,26.207,,,,,
18,09/16/22 09:50:00 PM,26.182,,,,,
19,09/16/22 10:00:00 PM,26.158,,,,,
20,09/16/22 10:10:00 PM,26.134,,,,,
21,09/16/22 10:20:00 PM,26.109,,,,,
22,09/16/22 10:30:00 PM,26.061,,,,,
23,09/16/22 10:40:00 PM,26.036,,,,,
24,09/16/22 10:50:00 PM,25.987,,,,,
25,09/16/22 11:00:00 PM,26.012,,,,,
26,09/16/22 11:10:00 PM,26.061,,,,,
27,09/16/22 11:20:00 PM,26.085,,,,,
28,09/16/22 11:30:00 PM,26.085,,,,,
29,09/16/22 11:40:00 PM,26.109,,,,,
30,09/16/22 11:50:00 PM,26.134,,,,,
31,09/17/22 12:00:00 AM,26.134,,,,,
32,09/17/22 12:10:00 AM,26.182,,,,,
33,09/17/22 12:20:00 AM,26.182,,,,,
34,09/17/22 12:30:00 AM,26.182,,,,,
35,09/17/22 12:40:00 AM,26.182,,,,,
36,09/17/22 12:50:00 AM,26.207,,,,,
37,09/17/22 01:00:00 AM,26.207,,,,,
38,09/17/22 01:10:00 AM,26.207,,,,,
39,09/17/22 01:20:00 AM,26.207,,,,,
40,09/17/22 01:30:00 AM,26.231,,,,,
41,09/17/22 01:40:00 AM,26.231,,,,,
42,09/17/22 01:50:00 AM,26.231,,,,,
43,09/17/22 02:00:00 AM,26.231,,,,,
44,09/17/22 02:10:00 AM,26.256,,,,,
45,09/17/22 02:20:00 AM,26.256,,,,,
46,09/17/22 02:30:00 AM,26.256,,,,,
47,09/17/22 02:40:00 AM,26.280,,,,,
48,09/17/22 02:50:00 AM,26.280,,,,,
49,09/17/22 03:00:00 AM,26.280,,,,,
