fragment,colony,species,tank,treatment,notes
A1,A,Apulchra,1,,Parent starting to die - may need to re frag
A2,A,Apulchra,1,,Parent starting to die - may need to re frag
A3,A,Apulchra,1,,Parent starting to die - may need to re frag
A4,A,Apulchra,1,,Parent starting to die - may need to re frag
A5,A,Apulchra,1,,Parent starting to die - may need to re frag
A6,A,Apulchra,2,,Parent starting to die - may need to re frag
A7,A,Apulchra,2,,Parent starting to die - may need to re frag
A8,A,Apulchra,2,,Parent starting to die - may need to re frag
A9,A,Apulchra,2,,Parent starting to die - may need to re frag
A10,A,Apulchra,2,,Parent starting to die - may need to re frag
A11,A,Apulchra,2,,Parent starting to die - may need to re frag
A12,A,Apulchra,3,,Parent starting to die - may need to re frag
A13,A,Apulchra,3,,Parent starting to die - may need to re frag
A14,A,Apulchra,3,,Parent starting to die - may need to re frag
A15,A,Apulchra,3,,Parent starting to die - may need to re frag
A16,A,Apulchra,3,,Parent starting to die - may need to re frag
A17,A,Apulchra,3,,Parent starting to die - may need to re frag
A18,A,Apulchra,4,,Parent starting to die - may need to re frag
A19,A,Apulchra,4,,Parent starting to die - may need to re frag
A20,A,Apulchra,4,,Parent starting to die - may need to re frag
A21,A,Apulchra,4,,Parent starting to die - may need to re frag
A22,A,Apulchra,4,,Parent starting to die - may need to re frag
A23,A,Apulchra,4,,Parent starting to die - may need to re frag
A24,A,Apulchra,5,,Parent starting to die - may need to re frag
A25,A,Apulchra,5,,Parent starting to die - may need to re frag
A26,A,Apulchra,5,,Parent starting to die - may need to re frag
A27,A,Apulchra,5,,Parent starting to die - may need to re frag
A28,A,Apulchra,5,,Parent starting to die - may need to re frag
A29,A,Apulchra,5,,Parent starting to die - may need to re frag
A30,A,Apulchra,6,,Parent starting to die - may need to re frag
A31,A,Apulchra,6,,Parent starting to die - may need to re frag
A32,A,Apulchra,6,,Parent starting to die - may need to re frag
A33,A,Apulchra,6,,Parent starting to die - may need to re frag
A34,A,Apulchra,6,,Parent starting to die - may need to re frag
A35,A,Apulchra,6,,Parent starting to die - may need to re frag
B1,B,Apulchra,1,,
B2,B,Apulchra,1,,
B3,B,Apulchra,1,,
B4,B,Apulchra,1,,
B5,B,Apulchra,1,,
B6,B,Apulchra,2,,
B7,B,Apulchra,2,,
B8,B,Apulchra,2,,
B9,B,Apulchra,2,,
B10,B,Apulchra,2,,
B11,B,Apulchra,2,,
B12,B,Apulchra,3,,
B13,B,Apulchra,3,,
B14,B,Apulchra,3,,
B15,B,Apulchra,3,,
B16,B,Apulchra,3,,
B17,B,Apulchra,3,,
B18,B,Apulchra,4,,
B19,B,Apulchra,4,,
B20,B,Apulchra,4,,
B21,B,Apulchra,4,,
B22,B,Apulchra,4,,
B23,B,Apulchra,4,,
B24,B,Apulchra,5,,
B25,B,Apulchra,5,,
B26,B,Apulchra,5,,
B27,B,Apulchra,5,,
B28,B,Apulchra,5,,
B29,B,Apulchra,5,,
B30,B,Apulchra,6,,
B31,B,Apulchra,6,,
B32,B,Apulchra,6,,
B33,B,Apulchra,6,,
B34,B,Apulchra,6,,
B35,B,Apulchra,6,,
C1,C,Apulchra,1,,
C2,C,Apulchra,1,,
C3,C,Apulchra,1,,
C4,C,Apulchra,1,,
C5,C,Apulchra,1,,
C6,C,Apulchra,1,,
C7,C,Apulchra,2,,
C8,C,Apulchra,2,,
C9,C,Apulchra,2,,
C10,C,Apulchra,2,,
C11,C,Apulchra,2,,
C12,C,Apulchra,3,,
C13,C,Apulchra,3,,
C14,C,Apulchra,3,,
C15,C,Apulchra,3,,
C16,C,Apulchra,3,,
C17,C,Apulchra,3,,
C18,C,Apulchra,4,,
C19,C,Apulchra,4,,
C20,C,Apulchra,4,,
C21,C,Apulchra,4,,
C22,C,Apulchra,4,,
C23,C,Apulchra,4,,
C24,C,Apulchra,5,,
C25,C,Apulchra,5,,
C26,C,Apulchra,5,,
C27,C,Apulchra,5,,
C28,C,Apulchra,5,,
C29,C,Apulchra,5,,
C30,C,Apulchra,6,,
C31,C,Apulchra,6,,
C32,C,Apulchra,6,,
C33,C,Apulchra,6,,
C34,C,Apulchra,6,,
C35,C,Apulchra,6,,
